Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037214902","14000US06037214902","Census Tract 2149.02","Census Tract 2149.02, Los Angeles County, California","ca","140","00","ACSSF","0004503",,,,,"06","037",,,,"214902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,1831,126,0,356,0,22,215
"06037215101","14000US06037215101","Census Tract 2151.01","Census Tract 2151.01, Los Angeles County, California","ca","140","00","ACSSF","0004504",,,,,"06","037",,,,"215101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,1967,302,0,439,45,163,99
"06037215102","14000US06037215102","Census Tract 2151.02","Census Tract 2151.02, Los Angeles County, California","ca","140","00","ACSSF","0004505",,,,,"06","037",,,,"215102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059,2228,89,18,321,0,218,185
"06037216100","14000US06037216100","Census Tract 2161","Census Tract 2161, Los Angeles County, California","ca","140","00","ACSSF","0004506",,,,,"06","037",,,,"216100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151,1293,294,10,413,0,64,77
"06037216200","14000US06037216200","Census Tract 2162","Census Tract 2162, Los Angeles County, California","ca","140","00","ACSSF","0004507",,,,,"06","037",,,,"216200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5778,2452,1123,22,1001,21,801,358
"06037216300","14000US06037216300","Census Tract 2163","Census Tract 2163, Los Angeles County, California","ca","140","00","ACSSF","0004508",,,,,"06","037",,,,"216300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4367,2802,406,17,569,29,304,240
"06037216401","14000US06037216401","Census Tract 2164.01","Census Tract 2164.01, Los Angeles County, California","ca","140","00","ACSSF","0004509",,,,,"06","037",,,,"216401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772,3089,252,0,262,0,76,93
"06037216402","14000US06037216402","Census Tract 2164.02","Census Tract 2164.02, Los Angeles County, California","ca","140","00","ACSSF","0004510",,,,,"06","037",,,,"216402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521,1876,34,8,357,0,71,175
"06037216700","14000US06037216700","Census Tract 2167","Census Tract 2167, Los Angeles County, California","ca","140","00","ACSSF","0004511",,,,,"06","037",,,,"216700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,1680,1102,0,334,0,388,331
"06037216800","14000US06037216800","Census Tract 2168","Census Tract 2168, Los Angeles County, California","ca","140","00","ACSSF","0004512",,,,,"06","037",,,,"216800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3203,2084,236,0,266,36,225,356
